scenario_id,tool_used,n_react_steps,latency_seconds
s000,literature_search,2,1.99
s001,schedule_reminder,2,3.7
s002,progress_track,2,3.48
s003,pain_assess,3,2.45
s004,pain_assess,1,4.71
s005,progress_track,3,6.42
s006,schedule_reminder,1,3.26
s007,exercise_query,3,3.35
s008,schedule_reminder,1,3.46
s009,progress_track,3,4.81
s010,pain_assess,3,4.04
s011,schedule_reminder,2,2.09
s012,schedule_reminder,1,2.24
s013,literature_search,3,5.68
s014,exercise_query,3,4.12
s015,progress_track,1,5.23
s016,exercise_query,1,6.11
s017,pain_assess,1,5.58
s018,pain_assess,3,3.91
s019,exercise_query,2,5.91
s020,literature_search,1,3.22
s021,progress_track,3,2.39
s022,progress_track,3,2.76
s023,schedule_reminder,3,4.56
s024,literature_search,1,4.6
s025,literature_search,2,4.51
s026,progress_track,1,2.69
s027,pain_assess,1,4.68
s028,progress_track,2,2.12
s029,pain_assess,1,6.14
s030,exercise_query,3,6.14
s031,schedule_reminder,3,3.64
s032,schedule_reminder,2,4.25
s033,pain_assess,1,6.01
s034,schedule_reminder,2,4.52
s035,literature_search,2,4.9
s036,progress_track,1,3.32
s037,exercise_query,2,4.56
s038,progress_track,1,2.94
s039,progress_track,1,5.12
