scenario_id,y_true,y_pred
s000,1,1
s001,1,1
s002,1,1
s003,1,1
s004,1,1
s005,1,1
s006,1,1
s007,1,1
s008,1,1
s009,1,1
s010,1,1
s011,1,1
s012,1,1
s013,1,1
s014,1,1
s015,1,1
s016,1,1
s017,1,1
s018,1,1
s019,1,1
s020,1,1
s021,1,1
s022,1,1
s023,1,1
s024,1,1
s025,1,1
s026,1,1
s027,1,1
s028,1,1
s029,1,1
s030,1,1
s031,1,1
s032,1,1
s033,1,1
s034,1,1
s035,1,1
s036,1,1
s037,1,1
s038,1,1
s039,1,1
s040,1,1
s041,1,1
s042,1,1
s043,1,1
s044,1,1
s045,1,1
s046,1,1
s047,1,1
s048,1,1
s049,1,1
s050,1,1
s051,1,1
s052,1,1
s053,1,1
s054,1,1
s055,1,1
s056,1,1
s057,1,1
s058,1,1
s059,1,0
s060,1,0
s061,1,0
s062,1,0
s063,1,0
s064,1,0
s065,1,0
s066,1,0
s067,1,0
s068,1,0
s069,1,0
s070,0,1
s071,0,1
s072,0,1
s073,0,1
s074,0,1
s075,0,1
s076,0,0
s077,0,0
s078,0,0
s079,0,0
s080,0,0
s081,0,0
s082,0,0
s083,0,0
s084,0,0
s085,0,0
s086,0,0
s087,0,0
s088,0,0
s089,0,0
s090,0,0
s091,0,0
s092,0,0
s093,0,0
s094,0,0
s095,0,0
s096,0,0
s097,0,0
s098,0,0
s099,0,0
s100,0,0
s101,0,0
s102,0,0
s103,0,0
s104,0,0
s105,0,0
s106,0,0
s107,0,0
s108,0,0
s109,0,0
s110,0,0
s111,0,0
s112,0,0
s113,0,0
s114,0,0
s115,0,0
s116,0,0
s117,0,0
s118,0,0
s119,0,0
s120,0,0
s121,0,0
s122,0,0
s123,0,0
s124,0,0
s125,0,0
s126,0,0
s127,0,0
s128,0,0
s129,0,0
s130,0,0
s131,0,0
s132,0,0
s133,0,0
s134,0,0
s135,0,0
s136,0,0
s137,0,0
s138,0,0
s139,0,0
s140,0,0
s141,0,0
s142,0,0
s143,0,0
s144,0,0
s145,0,0
s146,0,0
s147,0,0
s148,0,0
s149,0,0
s150,0,0
s151,0,0
s152,0,0
s153,0,0
s154,0,0
s155,0,0
s156,0,0
s157,0,0
s158,0,0
s159,0,0
s160,0,0
s161,0,0
s162,0,0
s163,0,0
s164,0,0
s165,0,0
s166,0,0
s167,0,0
s168,0,0
s169,0,0
s170,0,0
s171,0,0
s172,0,0
s173,0,0
s174,0,0
s175,0,0
s176,0,0
s177,0,0
s178,0,0
s179,0,0
s180,0,0
s181,0,0
s182,0,0
s183,0,0
s184,0,0
s185,0,0
s186,0,0
s187,0,0
s188,0,0
s189,0,0
s190,0,0
s191,0,0
s192,0,0
s193,0,0
s194,0,0
s195,0,0
s196,0,0
s197,0,0
s198,0,0
s199,0,0
s200,0,0
s201,0,0
s202,0,0
s203,0,0
s204,0,0
s205,0,0
s206,0,0
s207,0,0
s208,0,0
s209,0,0
